Name,Size,Type,Environment
"Demon, Rattok",Small,Fiend,,rKlDBu,Zlx4pjb5,dfb0Hq2Mgl7Tw9F
"Demon, Spawn of Alquam",Large,Fiend,,qR5GKq5qfYlToJuW,jPigpXSAAC5Q,r
"Demon, Spawn of Hriggala",Huge,Fiend,
"Demon, Spawn of Rhopalocerex",Large,Fiend,
"Demon, Spree",Small,Fiend,
"Demon, Vellso",Medium,Fiend,
"Demon, vetala",M,Fiend,"planar, urban"
"Demon, Wind",Small,Fiend,
"Demon, Yek",Small,Fiend,
"Demon, Yek Alpha",Medium,Fiend,
Demonfeed Spider,Large,Fiend,
Demonfeed Spiderling,Medium,Fiend,
Demonic Knight,Medium,Fiend,
Denizen of Leng,Medium,Aberration,
Derendian Moth Abomination,Huge,Monstrosity,
Derro,Small,Humanoid,underground
Derro Explorer,Small,Humanoid,
Derro Fetal Savant,Tiny,Humanoid,"ruins,underground"
Derro Guard,Small,Humanoid,
Derro Shadow Antipaladin,Small,Humanoid,"ruins, underground",6O55hVxKOfFFQb5wHs3,So,xs,zp,u6ZMQx7,jvaWpFkPYPBktsB,rXc4,BGyupc7z7riNR9lP6Y,OauGzotndxdAk2yoO
Derro Shadowseeker,Small,Humanoid,
"Derro, abysswalker",S,Humanoid,planar,T56mlT5nVqG22hU8x8,z5WKtto1OJjeh1l,IJ
"Derro, hellforged",S,Humanoid,planar
"Derro, Speaker to the Darkness",Small,Humanoid,
"Derro, voidwarped",S,Humanoid,planar
"Derro, Witch Queen",Small,Humanoid,
Desert Giant,Huge,Giant,
Desert slime,L,Ooze,desert
Desert Troll,Large,Giant,
Despair and anger,L,Celestial,planar
Destroyer,Medium,Humanoid,
Deva,Medium,Celestial,planar
Deva (A5E),Medium,Celestial,"Astral Plane, Temple"
Devil Bough,Huge,Fiend,
Devil Shark,Gargantuan,Monstrosity,
"Devil, Arachnocrat",Medium,Fiend,
"Devil, arch, iorvensiav",G,Fiend,"arctic, planar"
"Devil, Blood Imp",Tiny,Fiend,,2Rnz4W8CLBa4b1tFfsCa,r2f62jH8rKuXlj,hB,a2zs,fR,ntmGNYDKlvxrmUiqurL,idHwbCuY5
"Devil, devilflame juggler",L,Fiend,planar
"Devil, Fire Imp",Tiny,Fiend,
"Devil, Infernal Knight",Medium,Fiend,,ICSNDAGJna
"Devil, infernal tutor",M,Fiend,"hills, mountains, planar",issu4tTdLOJQSpv1L8,8VDDn,rSzc5y,jEqXAVheI8n,uQh7kDFj,xkdjg4F75,xWwuAJErd5UZn6Y2i0VR,Pp72PB3b3V,NgSfY7qnD0bgS,Bc3XhBajti4lZLmbf
"Devil, infernal tutor, lesser",M,Fiend,"hills, mountains"
"Devil, maelstrom",L,Fiend,"coastal, planar, underwater"
"Devil, moldering",S,Fiend,farmland
"Devil, Nephirron",Huge,Fiend,
"Devil, rimepacted",M,Fiend,arctic
"Devil, Scribe",Medium,Fiend,
"Devil, Tzepharion",Large,Fiend,
"Devil, Wind's Harp",Medium,Fiend,
Devilbound gnomish prince,Small,Humanoid,
devkarin lich,Medium,Undead,
Devourer,Large,Fiend,underground
Devouring angel,L,Aberration,planar
Dhampir,Medium,Humanoid,
Dhampir Commander,Medium,Humanoid,
"Dhuoth, Giver of Eyes",Gargantuan,Plant,
Dimensional Shambler,Large,Aberration,
Dimetrodon,Medium,Beast,swamp
Diminution Drake,Medium,Dragon,
"Dinosaur, Compsognathus",Tiny,Beast,
"Dinosaur, Comsognathus swarm",Medium Swarm,Beast,
"Dinosaur, guardian archaeopteryx",S,Beast,"forest, grassland",ZC4RU,X9OKP,lwxCDPM3JYQEGSi1,3vhdMH8jQAg,ijNRes,d,mNCVocV4
"Dinosaur, jeholopterus",S,Beast,"coastal, forest, swamp"
"Dinosaur, razorfeather raptor",M,Monstrosity,"forest, swamp"
"Dinosaur, therizinosaurus",H,Beast,forest
"Dinosaur, thundercall hadrosaur",H,Monstrosity,"farmland, grassland, swamp"
"Dinosaur, Tricenatorus",Huge,Monstrosity,,2kBN4TQOqH6NMxKsc,Tcyo7OwQ9YnzZERaB,Fvryv,Hl,h,O0JauztPDe72G,AaAzi4R,yzex07Af5LUzO8KF1k
Diomedian horse,L,Beast,grassland
Diplodocus (A5E),Gargantuan,Beast,"Grassland, Jungle, Mountains, Swamp"
Dipsa,Tiny,Ooze,marshes
Dire Anglerfish,Huge,Beast,
Dire Centipede (A5E),Large,Beast,"Caverns, Ruin"
Dire Corby,Medium,Monstrosity,underground
Dire Eagle,Huge,Beast,
Dire lionfish,L,Beast,underwater
Dire owlbear,L,Monstrosity,"forest, underground"
Dire pangolin,L,Beast,"forest, grassland"
Dire Tyrannosaurus Rex (A5E),Huge,Beast,"Grassland, Jungle, Mountains, Swamp"
Dire wildebeest,L,Beast,grassland
Dire Wolf,Large,Beast,"arctic, cave, forest, grassland"
Dire Wolf (A5E),Large,Beast,"Feywild, Forest, Grassland, Hills, Mountains, Tundra"
Diseased Giant Rat (A5E),Small,Beast,"Caverns, Forest, Ruin, Settlement, Sewer, Swamp"
Displacer Beast,Large,Monstrosity,"forest, grassland",oN2t8KcRl,rFJr,INYYUdeCw7d,LbgrL8xL5nVehgG,g,glnwTCW,3T3GENnoqXm3yqM
Dissimortuum,Medium,Undead,
Div,S,Elemental,"badlands, desert"
Divi (A5E),Large,Elemental,"Caverns, Plane of Earth",RPuGL0P4dgikj,fk4nxvfU9slxJGy
Divi Noble (A5E),Large,Elemental,"Caverns, Plane of Earth"
Diviner,Medium,Humanoid,urban
Diving gel,T,Ooze,"coastal, underwater"
Diwata,Large,Fey,"forests, coastal, mountains, caves"
Djinni,Large,Elemental,"arctic, coast, dungeon, grassland, planar"
Djinni (A5E),Large,Elemental,"Desert, Plane of Air",MlORd,JlxhJXqA1,JUnSr0OE2IskePi,SuSUe51r,v,I8JU9KGL2ETHsx0E3W,qILjjX
Djinni Noble (A5E),Large,Elemental,"Desert, Plane of Air"
Doc Cu'o'c,Medium,Fey,
Dogmole,Medium,Beast,"forests, hills,mountains"
Dogmole Juggernaut,Large,Monstrosity,"hills,mountains,ruins,underground"
Dokkaebi,M,Fey,farmland
Dolgaunt,Medium,Aberration,
Dolgrim,Small,Aberration,
Dolphin,Medium,Beast,"coast, aquatic"
Domovoi,Medium,Fey,"desert,forests"
Doom creeper,S,Plant,forest
Doom Golem,Large,Construct,
Doombat,Large,Monstrosity,underground
Doomspeaker,Medium,Humanoid,
Doppelganger,Medium,Monstrosity,"dungeon, ruins, urban"
Doppelganger (A5E),Medium,Monstrosity,"Caverns, Forest, Grassland, Hills, Laboratory, Ruin, Settlement, Sewer, Shadowfell"
Doppelixir,T,Ooze,"any, urban"
Doppelrat,Tiny,Monstrosity,"ruins,underground,urban"
Dorreq,Medium,Aberration,badlands
Doty X,Medium,Construct,
Dracotaur,Large,Dragon,
Draegloth,Large,Fiend,underground
Draft Horse,Large,Beast,urban
Draft Horse (A5E),Large,Beast,Settlement
Dragon Cultist (A5E),Medium,Humanoid,"Desert, Forest, Hills, Jungle, Ruin, Settlement, Sewer, Temple",IpkiuTpdNNI4,TYji
Dragon Eel,Huge,Dragon,"aquatic,ruins,underground"
Dragon Lich Template (A5E),Huge,Undead (Dragon),
Dragon Turtle,Gargantuan,Dragon,aquatic
Dragon Turtle (A5E),Gargantuan,Dragon,"Plane of Water, Water"
"Dragon, Boreal Adult",Huge,Dragon,
"Dragon, Boreal Ancient",Gargantuan,Dragon,
"Dragon, Boreal Wyrmling",Medium,Dragon,
"Dragon, Boreal Young",Large,Dragon,
"Dragon, Imperial Adult",Huge,Dragon,
"Dragon, Imperial Ancient",Gargantuan,Dragon,
"Dragon, Imperial Wyrmling",Medium,Dragon,
"Dragon, Imperial Young",Large,Dragon,,Cji,TnUYl,B5ixylDX,4pssLNdbnJgjlfNY3ctC,jAUhOeSDb,BZAs,CEX8F,88lpM4hQVt3TXfLCLd
"Dragon, Light, Adult",Huge,Dragon,
"Dragon, Light, Ancient",Gargantuan,Dragon,,Zs85N504x89LlxQ3,OhrtXeJG3,gHilrYhIr,bLwojDlE,iCG9ky5px,bsaj,wsxCzB,X,Q15naGWS2KW9P,PS9fL015,ZKbm0
"Dragon, Light, Wyrmling",Medium,Dragon,
"Dragon, Light, Young",Large,Dragon,
"Dragon, prismatic adult",H,Dragon,underground
"Dragon, prismatic ancient",G,Dragon,underground
"Dragon, prismatic wyrmling",M,Dragon,underground,gzEXcBXCq3uKFn2FSPr,ULPF,z7,3pNJcNYMXk79,2vk5czJbx
"Dragon, prismatic young",L,Dragon,underground
"Dragon, sand adult",H,Dragon,"badlands, desert",HLcl5Wws5wO9PnZn,SXzCoFhrQLK4aZ79llR,sf5y,ObVWyUoreV9R8I,yKV4,0fQCvqk9
"Dragon, sand ancient",G,Dragon,"badlands, desert"
"Dragon, sand wyrmling",M,Dragon,"badlands, desert"
"Dragon, sand young",L,Dragon,"badlands, desert"
"Dragon, Wasteland, Adult",Huge,Dragon,
"Dragon, Wasteland, Ancient",Gargantuan,Dragon,
"Dragon, Wasteland, Wyrmling",Medium,Dragon,
"Dragon, Wasteland, Young",Large,Dragon,
Dragonborn Edjet,Medium,Humanoid,
Dragonborn Elementalist,Medium,Humanoid,
Dragonborn Hvy Cav,Medium,Humanoid,
Dragonborn Lgt Cav,Medium,Humanoid,
Dragonborn Ouroban,Medium,Humanoid,
Dragonbound Warrior (A5E),Medium,Humanoid,"Desert, Forest, Hills, Jungle, Mountains, Ruin, Swamp, Tundra"
Dragonclaw,Medium,Humanoid,"dungeon, urban"
"Dragonette, barnyard",T,Dragon,farmland,g,wmjFjnseajbXEZBC
"Dragonette, Keyhole",Tiny,Dragon,
"Dragonette, sedge",T,Dragon,swamp
"Dragonette, shovel",T,Dragon,"farmland, forest, grassland, urban"
Dragonfang,Medium,Humanoid,"dungeon,urban"
Dragonflesh Golem,Large,Construct,
Dragonleaf Tree,Large,Plant,"forests,urban"
Dragonsoul,Medium,Humanoid,"dungeon, urban"
Dragonwing,Medium,Humanoid,"dungeon, urban"
Drainpipe Gargoyle (A5E),Medium,Elemental,"Hills, Laboratory, Mountains, Plane of Earth, Ruin, Settlement, Temple, Tomb"
"Drake, bakery",S,Dragon,urban
"Drake, Bathhouse",Medium,Dragon,
"Drake, cactus",M,Dragon,"badlands, desert",91ywWE6lsFQa,qkzls21R,nAMK9YHg,g3VhS5PEHpGGk
"Drake, Cave",Large,Dragon,
"Drake, Crater",Small,Dragon,
"Drake, Diminution",Medium,Dragon,
"Drake, ethereal",L,Dragon,"planar, urban"
"Drake, Fey",Small,Dragon,
"Drake, Forest",Small,Dragon,
"Drake, Hoard",Large,Dragon,
"Drake, Hoarfrost",Medium,Dragon,
"Drake, Kelp",Medium,Dragon,
"Drake, Light",Tiny,Dragon,
"Drake, Liminal",Large,Dragon,
"Drake, Moon",Medium,Dragon,
"Drake, Peluda",Large,Dragon,
"Drake, reef",H,Dragon,"coastal, underwater"
"Drake, riptide",L,Dragon,"coastal, underwater",v7yNAF6AsGB7iX,WVAQfgOwQzgzJoyk,COAdBIoDIv,ghAaQ,EqdW7aNwTEZQ8,vfhdsWPlmvjP,mxuQrwpdzP1C,rISQZIPQnYeXpZ
"Drake, Sanddrift",Large,Dragon,
"Drake, shepherd",M,Dragon,"farmland, hills"
"Drake, Skull",Medium,Dragon,
"Drake, Spider",Large,Dragon,
"Drake, vapor",L,Dragon,swamp
"Drake, venom",L,Dragon,forest
"Drake, Vine",Medium,Dragon,
Drakon,Large,Beast,
Dralmorrer Borngray,Medium,Humanoid,
Drannin Splithelm,Medium,Elemental,
Dread examiner,L,Aberration,
Dread Knight (A5E),Medium,Undead,"Mountains, Ruin, Shadowfell, Tomb"
Dread Knight Champion (A5E),Medium,Undead,"Mountains, Ruin, Shadowfell, Tomb"
Dread Troll (A5E),Large,Giant,"Caverns, Feywild, Forest, Grassland, Hills, Jungle, Mountains, Ruin, Swamp",4,heyKD9MQyY6sC133WBjB,J3eECpR4iC7m8,mvX4iAfsL,iM8JdFLf,wlIXo7FGgW,IjylQlxjBno19SlU,408ggtJ,AdP
Dread Walker Excavator,Large,Construct,
Dread Warrior,Medium,Undead,
Dreadlock Vampire Spawn (A5E),Medium,Undead,
Dream Eater,Medium,Fiend,"ruins,underground,urban"
Dream Squire,Medium,Fey,
Dream Wraith,Medium,Undead,
Dream-Seeker of Yga-Ygo,Small,Humanoid,
Dretch,Small,Fiend,"dungeon, planar"
Dretch (A5E),Small,Fiend,Abyss
Drider,Large,Monstrosity,"dungeon, underground"
Drider (A5E),Large,Monstrosity,"Feywild, Ruin"
Droki,Small,Humanoid,
Drop Bear (A5E),Large,Beast,Tundra
Droth,Huge,Aberration,
Drow,Medium,Humanoid,"dungeon, underground, urban"
Drow Elite Warrior,Medium,Humanoid,"dungeon, underground, urban"
Drow Mage,Medium,Humanoid,"dungeon, underground, urban"
Drow Priestess of Lolth,Medium,Humanoid,"dungeon, underground, urban",qF1sYEWUEEV6unPe,LoH,j,xl2BnarD71IJVTvGLquE,2
Drow Spore Servant,Medium,Plant,
Drowned Maiden,Medium,Undead,aquatic
Drudge pitcher,H,Plant,forest
Druid,Medium,Humanoid,"arctic, cave, coast, desert, forest, grassland, mountain, swamp, underground",N463APNLFZy5ThepG,yi1bYce0qwptFWHt,PQRuXoUlfTxEXVmNx5Y,ctilEi,SgPR77cK
Druid (A5E),Medium,Humanoid,"Desert, Forest, Grassland, Hills, Jungle, Mountains, Swamp, Tundra"
Druid of the Old Ways,Medium,Humanoid,
Dryad,Medium,Fey,forest
Dryad (A5E),Medium,Fey,"Forest, Jungle",IFF2i5ETYCVpe2,uXS3BJR3JzcxJ,rSnsIy7b2tkzso,X4OX6tGqr2LT,GB8r2lfgwom4MQtmQZ,hTnOS7yUuXgazBcSoqn,PESSXZfhIGeuj
"Dryad, Mountain",Huge,Fey,
Dubius,S,Fiend,"farmland, planar, urban"
Duelist (A5E),Medium,Humanoid,Settlement
Duergar,Medium,Humanoid,"dungeon, underground"
Duergar Soulblade,Medium,Humanoid,
Duergar Spore Servant,Medium,Plant,
Duergar Spy,Medium,Humanoid,
Duergar Stone Guard,Medium,Humanoid,
Duergar Xarrorn,Medium,Humanoid,
Dullahan,Large,Fey,
Dune Mimic,Huge,Monstrosity,"desert,plains",gkepAiC5S,D7YANdPioNAz,f45XH,EyNRdGFv3,5Iu1UjkBA3efp,bAE0gndKrk3,9ZK,JFzUXR99QNyllJ3
Duodrone,Medium,Construct,planar
Dusk Hag,Medium,Fey,
Duskthorn Dryad,Medium,Fey,
Dust Digger,Large,Aberration,desert
Dust Goblin,Small,Humanoid,"badlands,desert,ruins,underground"
Dust Goblin Chieftain,Small,Humanoid,
Dust grazer,L,Aberration,badlands
Dust Mephit,Small,Elemental,"dungeon, planar, ruins, urban"
Dust Mephit (A5E),Small,Elemental,"Desert, Mountains, Plane of Air, Plane of Earth"
Dvarapala,Huge,Giant,
"Dwarf, angler",M,Humanoid,"mountains, underground"
"Dwarf, cleric of brew",Medium,Humanoid,
"Dwarf, firecracker",M,Humanoid,any
"Dwarf, Graveslayer",Medium,Humanoid,
"Dwarf, pike guard",M,Humanoid,any,pYTaAm5mfJdbx8MT0
"Dwarf, pike guard captain",M,Humanoid,any
"dwarf, ringmage",Medium,Humanoid,
"dwarf, wolf reaver",Medium,Humanoid,
Dwarven Ringmage,Medium,Humanoid,
Dyrrn,Medium,Aberration,
Eagle,Small,Beast,"arctic, grassland, mountain"
Eagle (A5E),Small,Beast,"Hills, Mountains"
Eala,Small,Monstrosity,
Earth Dragon Wyrmling (A5E),Medium,Dragon,"Desert, Hills, Mountains",vxLFUNy,8ZYCc,SLQgAyKEFkw,1zwI,46DwwN5jT,7XPQnuhOsqDZT5HSs6v,PmXcNxrpBXY,HO,jafFM1
Earth Elemental,Large,Elemental,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground"
Earth Elemental (A5E),Large,Elemental,"Laboratory, Plane of Earth"
Earth Elemental Myrmidon,Medium,Elemental,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground",aW,hXr,7A4o6DAM2nzF6gqTV1,WDHWLteutWYMZ
Eater of Dust (Yakat-Shi),Medium,Aberration,
Eblis,Medium,Monstrosity,swamp
Echo,Medium,Fiend,
Ecstatic Bloom,Huge,Celestial,
Ectoplasm,Large,Ooze,
Edimmu,Medium,Undead,desert
Edjet,Medium,Humanoid,
Edjet Initiate,Medium,Humanoid,
Eel Hound,Medium,Fey,aquatic
Efreeti,Large,Elemental,"desert, dungeon, mountain, planar"
Efreeti (A5E),Large,Elemental,"Desert, Mountains, Plane of Fire"
Efreeti Noble (A5E),Large,Elemental,"Desert, Mountains, Plane of Fire"
Egret Harpy,Medium,Monstrosity,
Einherjar,Medium,Humanoid,
Einsaung Nat,Small,Fey,
Elder Black Pudding (A5E),Huge,Ooze,"Caverns, Ruin, Sewer, Water"
Elder Brain,Large,Aberration,underground
Elder Ghost Boar,Huge,Monstrosity,
Elder Shadow Drake,Large,Dragon,forests
Elder Vampire (A5E),Medium,Undead,"Forest, Hills, Mountains, Ruin, Settlement, Shadowfell, Tomb"
Eldrazi Scion,Large,Aberration,
Eldritch Ooze,Large,Ooze,
Eleinomae,Medium,Fey,marshes
Elemental Locus,Gargantuan,Elemental,
"Elemental, Fire-infused water",Huge,Elemental,
"Elemental, Ice",Large,Elemental,
"Elemental, Magnetic",Large,Elemental,,LU0,91kqsc,iK2xYDTXxDQ,aK311ZOs1Sk2UW,gpAqAWyzKMhMqX282,KlTit,YKF24hKEAndk,qiVzET6s,pYN
"Elemental, permafrost",L,Elemental,arctic,OZRYdR3FX8ZN1W,iRFFOFc,H6XaTAtWUiu
"Elemental, rockslide",L,Elemental,mountains
"Elemental, Storm Lord",Huge,Elemental,
"Elemental, Venom",Large,Elemental,
Elementalist,Medium,Humanoid,
Elephant,Huge,Beast,grassland
Elephant (A5E),Huge,Beast,"Desert, Forest, Grassland, Jungle"
"Elf, Alchemist Archer",Medium,Humanoid,
"Elf, Deathsworn",Medium,Humanoid,
"Elf, Enchanter",Medium,Humanoid,
"Elf, Servant of Vine",Medium,Humanoid,
"Elf, shadow fey executioner",M,Humanoid,"any, urban",4amW0t6KaXuuq2GW,tWLxxw3rWdqWs5nQ,qa,eW65mBwn5NVYptOBzkoI,GClHcOeX1hsFkOSqMIj,zfOoqrYCmaX
Elite Kobold,Small,Humanoid,
Elizar Dryflagon,Medium,Humanoid,
Elk,Large,Beast,"forest, grassland"
Elk (A5E),Large,Beast,"Forest, Tundra"
Elophar,Large,Undead,
Elusa Hound,Medium,Monstrosity,"forest, grassland"
Elven Veteran Archer,Medium,Humanoid,
Elvish Veteran Archer,Medium,Humanoid,
Ember glider,M,Monstrosity,"hills, mountains"
Ember Roc,Gargantuan,Monstrosity,
Emerald Dragon Wyrmling (A5E),Medium,Dragon,"Caverns, Ruin, Sewer"
Emerald Eye,Tiny,Construct,
Emerald Order Cult Leader,Mwsium,Humanoid,
Emperor of the Ghouls,Medium,Undead,"ruins,underground,urban"
Emperor's Hyena,Medium,Undead,
Emperor’s Hyena,Medium,Undead,
Empty Cloak,Medium,Construct,
Empusa,Medium,Monstrosity,
Empyrean,Huge,Celestial,planar
Empyrean (A5E),Gargantuan,Celestial,"Astral Plane, Caverns, Ethereal Plane, Feywild, Plane of Air, Plane of Earth, Plane of Fire, Plane of Water, Ruin, Shadowfell, Temple",UzB4,Q6Szrd,bemozexIKWdoFO5,SYP13Yn2xaeZltLYr,XcRpdGFF,0kWUv8x0R1,Lz83gVonY1b,tT6LYCB,KNE
Encephalon Gorger (Psilian),Medium,Aberration,
Enchanted Objects Variant (A5E),,,
Enchanter,Medium,Humanoid,urban
Eonic Drifter,Medium,Humanoid,
Eonic Savant,Medium,Humanoid,
Equitox,L,Fiend,"coastal, farmland, swamp",sI3lZ5KptrOXHvY,sQf8ExM1ap0hpjIIA,t5X8DpY4F,5f9QXp9HCi,PcQn6oq2c3I0KHxKabPk
Erina Defender,Small,Humanoid,"forests,hills,plains"
Erina Scrounger,Small,Humanoid,"forests,hills,plains"
Erina tussler,S,Humanoid,"forest, grassland, hills"
Erinyes,Medium,Fiend,"dungeon, planar"
Erinyes (A5E),Medium,Fiend,Hell
Eternal Flame Guardian,Medium,Humanoid,"cave, desert, dungeon, forest, grassland, mountain, ruins, underground"
Eternal Flame Priest,Medium,Humanoid,"cave, desert, dungeon, forest, grassland, mountain, ruins, underground"
Ettercap,Medium,Monstrosity,"cave, dungeon, forest, ruins, swamp, underground"
Ettercap (A5E),Medium,Monstrosity,"Forest, Jungle, Swamp"
Ettin,Large,Giant,"cave, grassland, mountain, swamp"
Ettin (A5E),Large,Giant,"Hills, Ruin",DITfuZVwP0wqQ2wUE0WG,LOcxAEGVX
"Ettin, kobold",M,Giant,underground,4rRlI6NS4wqAsvnA,Fe,KHRYt2OY3PQMNcoF,ohxbqRm3l,frTORba
Evil Doll,Tiny,Construct,
Evoker,Medium,Humanoid,urban
Execrable Shrub,Medium,Fiend,
Expeditious messenger,Tiny,Construct,
Exploding Toad,Tiny,Monstrosity,
Eye Golem,Large,Construct,
Eye of the Deep,Medium,Aberration,"aquatic, cave, coast, dungeon, underground"
Eye of the Gods,Small,Celestial,
Ezmerelda d'Avenir,Medium,Humanoid,
Fabricator,Large,Construct,
Faceless Wanderer,Medium,Aberration,
Faerie Dragon (A5E),Tiny,Dragon,"Feywild, Forest, Jungle"
Faerie Dragon (blue),Tiny,Dragon,"forest, grassland, mountain, ruins, swamp"
Faerie Dragon (green),Tiny,Dragon,"forest, grassland, mountain, ruins, swamp"
Faerie Dragon (indigo),Tiny,Dragon,"forest, grassland, mountain, ruins, swamp"
Faerie Dragon (orange),Tiny,Dragon,"forest, grassland, mountain, ruins, swamp",UI2dB2qWEv,CAMfhZvihWIAN,6kSBoj2cHI,S0UFcosu89Wzss
Faerie Dragon (red),Tiny,Dragon,"forest, grassland, mountain, ruins, swamp"
Faerie Dragon (violet),Tiny,Dragon,"forest, grassland, mountain, ruins, swamp"
Faerie Dragon (yellow),Tiny,Dragon,"forest, grassland, mountain, ruins, swamp"
Faerie Dragon Familiar (A5E),Tiny,Dragon,"Feywild, Forest, Jungle"
Faerie Eater Troll (A5E),Large,Giant,Feywild
Faerie Noble (A5E),Medium,Fey,"Feywild, Forest, Swamp",iXJGRNtG,jdTV,WIgmg78XWha3LnJI,0ye,BGtdHtyHW2DjDuzCv6F,3Mubj
Fallen Angel,Medium,Celestial,
Fallen Angel Variant (A5E),,,
Fallen Deva (A5E),Medium,Celestial,"Astral Plane, Temple"
Fallen Planetar (A5E),Large,Celestial,"Astral Plane, Temple"
Fallen Solar (A5E),Large,Celestial,"Astral Plane, Temple",GLoJGIg,KJrtKln7UzWhD,QJaU4wcjYFvvGMJ,BD3yqkmZEhU0XgrL3BD
Falsifer Fog,Huge,Undead,
Falsifier Fog,Huge,Undead,
Fane Spirit,Medium,Undead,
Fang Guard,Medium,Monstrosity,
Fang of Great Wolf,Large,Monstrosity,
Fang of the Great Wolf,Large,Monstrosity,
Fanged Sea Serpent,Large,Dragon,aquatic
Far Darrig,Small,Fey,"forests,plains"
Far Dorocha,medium,Fey,
Far Wanderer,Medium,Aberration,
Fastieth,Medium,Beast,
Fate Eater,Medium,Aberration,
Fathomer,Medium,Humanoid,"aquatic, cave, coast, grassland, swamp, underground"
Faux-garou,M,Construct,"forest, swamp"
Fear Guard,Medium,Undead,underground
Fear Liath,Large,Undead,
Fear Smith,Medium,Fey,
Fear Smith (Fiarsídhe),Medium,Fey,
Feathergale knight,Medium,Humanoid,"arctic, cave, coast, desert, dungeon, grassland, mountain, ruins"
Felid Dragon,Huge,Dragon,
Felidar,Large,Celestial,
Fell Nightmare (A5E),Large,Fiend,"Abyss, Hell, Shadowfell",sJyLomQ8p2D9eGZZd,kRtpAwgLADJ,sXk,BrkHsGBqvKkuH7sh,294,7nn,SDuBtkpXj1bqj0o
Fellforged,Medium,Construct,
Female Steeder,Large,Beast,
Fen Witch,Medium,Monstrosity,swamp
Fennec Fox,Tiny,Beast,
Feral Undead Cat,Small,Undead,ruins
Fern Lizard,Small,Beast,
Fetch,Medium,Undead,"grassland, mountain"
Fext,Medium,Undead,
Fey Drake,Small,Dragon,
Fey Knight (A5E),Medium,Fey,"Feywild, Forest, Swamp",8QKDYemG7,nEZQD6
"Fey Lady, Berchta",Medium,Fey,
"Fey lady, coral queen",M,Fey,"coastal, underwater"
"Fey lady, countess of garlands",M,Fey,forest
"Fey lady, mother moth",M,Fey,
"Fey lord, rainforest king",M,Fey,forest
"Fey Lord, Reynard",Medium,Fey,
Fey Revenant,Large,Fey,
Feyote,Medium,Fey,
Feyward Tree,Huge,Construct,
Fidele,Medium,Celestial,
Fidele Angel,Medium,Celestial,
Field Commander,M,Humanoid,"any, urban",4BmuGO4SW4r1cl,mLAFskpilpH,3f7y9B0t5LgKGVo
"Fiend lord, abhaddanayla",M,Fiend,"mountains, planar",m23F8qMFejdWPZjxf,IODM5xxE5BjFrEyh,dZQs9waUJsD3Hawsv,TGzU4Cqs
"Fiend lord, malaabit",L,Fiend,"badlands, desert, mountains"
Fiendish Hyena,Large,Fiend,
Fierstjerren,Medium,Undead,
Fire Dancer Swarm,Medium,Elemental,
Fire Drake,Small,Dragon,mountain
Fire Elemental,Large,Elemental,"cave, coast, desert, dungeon, grassland, mountain, planar, ruins, underground"
Fire Elemental (A5E),Large,Elemental,"Laboratory, Plane of Fire"
Fire Elemental Myrmidon,Medium,Elemental,"cave, coast, desert, dungeon, grassland, mountain, planar, ruins, swamp, underground, urban"
Fire Giant,Huge,Giant,"mountain, planar"
Fire Giant (A5E),Huge,Giant,"Desert, Mountains, Plane of Fire, Settlement"
Fire Giant Dreadnought,Huge,Giant,"mountain, underground"
Fire Giant War Priest (A5E),Huge,Giant,"Desert, Mountains, Plane of Fire, Settlement",XyhiY9PElRmLI,ZcBs5bzfrDQcUtU,b6eZjy5GD,gSzd2RuESNg3,2M,XAAbvOkvhjniqmBZcD4C,M0Fzpe4dG2EY8kD8kWW8,ufpzRv,dcqJ8807VriRLLyVEp
Fire Imp,Tiny,Fiend,
Fire Kyeryong,Small,Monstrosity,mountains
Fire Monkey,Small,Monstrosity,forests
Fire Snake,Medium,Elemental,"forest, planar"
Fire Spire Initiate,Medium,Humanoid,
Fire-Infused Water Elemental,Huge,Elemental,
Firebird,Small,Celestial,
Firefist,Medium,Humanoid,
firegeist,Small,Elemental,
Firemane Angel,Medium,Celestial,
Firenewt Warlock of Imix,Medium,Humanoid,"grassland, mountain, underground"
Firenewt Warrior,Medium,Humanoid,"grassland, mountain, underground",ye68
First Servant,M,Humanoid,"any, urban"
Fixer,M,Humanoid,urban
Flab Giant,Large,Giant,"hills,mountains"
Flag Giant,Large,Giant,
Flagstone Golem,Large,Construct,
Flail Snail,Large,Monstrosity,"ruins, underground"
Flame Dragon Wyrmling,Medium,Dragon,
Flame Eater Swarm,Medium,Beasts,
Flame Naga,Large,Monstrosity,"forests, coastal, rivers",3,cql,Qx6T,YlTIgmDe70oy3SKkMm,hwena4PtI293SCjqU,YD9xai,l42LCJsMEqQdp6zOsqCd,VN8Hej4e89PulWHZ,3,QwA
Flame-Scourged Scion,Huge,Aberration,
Flame-Spitting Statue (A5E),Large,Construct,"Plane of Fire, Ruin, Temple"
Flameskull,Tiny,Undead,"dungeon, ruins"
Flamewrath,Medium,Humanoid,"cave, desert, dungeon, forest, grassland, mountain, ruins, underground"
Flaming Skeleton,Medium,Undead,
Flayed Wraith,Medium,Undead,
Flesh Golem,Medium,Construct,"dungeon, ruins"
Flesh Guardian (A5E),Medium,Construct,"Laboratory, Ruin, Temple, Tomb"
