Name,Size,Type,Environment
Broodiken,Tiny,Construct,
Broodmother of Leng,Huge,Aberration,
Broom of Animated Attack,Small,Construct,
Brother Ox,Huge,Fey,
Brown Bear,Large,Beast,"cave, forest"
Brown Bear (A5E),Large,Beast,"Feywild, Forest, Mountains"
Brownie,T,Fey,"farmland, forest, urban"
Brownie beastrider,T,Fey,"farmland, forest, urban"
Brownie mystic,T,Fey,"farmland, forest, urban"
Brumalek,S,Beast,"arctic, mountains"
Brume,Large,Aberration,
Bucca,Tiny,Fey,
Bugbear,Medium,Humanoid,"cave, dungeon, forest, mountain, ruins, urban"
Bugbear (A5E),Medium,Humanoid,"Desert, Forest, Grassland, Hills, Jungle, Mountains, Swamp"
Bugbear Assassin,Medium,Humanoid,"cave, dungeon, forest, mountain, ruins, urban"
Bugbear Champion of Hruggek,Medium,Humanoid,"cave, dungeon, forest, mountain, ruins, urban"
Bukavac,Large,Monstrosity,"forests,marshes"
Bulbous Violet,Medium,Plant,
Bulette (A5E),Large,Monstrosity,"Desert, Forest, Grassland, Hills, Mountains, Plane of Earth, Ruin, Settlement"
Bulgasari,Huge,Monstrosity (Bul),"forests, urban"
Bull,Large,Beast,
Bullywug,Medium,Humanoid,"coast, swamp"
Bullywug Chief,Medium,Humanoid,"coast, swamp"
Bullywug Hunter,Medium,Humanoid,"coast, swamp"
Bullywug Shaman,Medium,Humanoid,"coast, swamp"
Bungisngis,Huge,Giant,
Buraq,Medium,Celestial,
Burinkatada,Gargantuan,Giant,"coastal, urban, forests"
Burning Dervish,Medium,Fiend,planar
Burning Skeleton,Medium,Undead,
Burrow Shark,Medium,Humanoid,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, underground"
Burrowling,Small,Fey,plains
Busaw,Large,Giant,
Butatsch,Gargantuan,Aberration,
Cackler,Small,Fiend,
Cackling Skeleton,Medium,Undead,
Cactid,Large,Plant,desert
Cacus giant,Huge,Giant,
Cadaver,Medium,Undead,
Cadaver Lord,Medium,Undead,
Cadaver Sprite,Tiny,Undead,
Caldera kite,L,Monstrosity,mountains
Caltrop Golem,Medium,Construct,
"Camazotz, Demon Lord of Bats and Fire",Large,Fiend,
Cambion,Medium,Fiend,"dungeon, planar, urban"
Cambion (A5E),Medium,Fiend,"Abyss, Desert, Hell, Hills, Ruin, Settlement, Temple"
Cambium,Large,Fiend,urban
Camel,Large,Beast,desert
Camel (A5E),Large,Beast,"Desert, Settlement"
Cannibal Reaver (A5E),Medium,Fiend,"Abyss, Desert, Grassland, Hills, Jungle, Mountains, Settlement"
Captain Othelstan,Medium,Humanoid,
Capybear,M,Monstrosity,"forest, swamp"
Carbuncle,Small,Monstrosity,forest
Caretaker weevil,M,Beast,"farmland, forest"
Carnivorous ship,Gargantuan,Monstrosity,
Carnivorous Sod,Medium,Plant,
carrier mosquito,Large,Beast,
Carrion Beetle,Large,Beast,
Carrion Crawler,Large,Monstrosity,"cave, dungeon, underground"
Caryatid Column,Medium,Construct,
Cat,Tiny,Beast,urban
Cat (A5E),Tiny,Beast,Settlement
Catamount,L,Monstrosity,"badlands, mountains"
Category 1 Krasis,Medium,Monstrosity,
Category 2 Krasis,Large,Monstrosity,
Category 3 Krasis,Huge,Monstrosity,
Caterprism,Large,Monstrosity,planar
Catoblepas,Large,Monstrosity,swamp
Catonoctrix,L,Aberration,"badlands, planar"
Cats of Ulthar,Huge swarm,Beast,
Catscratch,Huge,Aberration,
Catterball,S,Fey,"forest, urban"
Cauldronborn,Small,Construct,
Caustic Crawler,Medium,Monstrosity,
Cave Bear (A5E),Large,Beast,Caverns
Cave Cricket,Small,Beast,underground
Cave Dragon Wyrmling,Medium,Dragon,
Cave Drake,Large,Dragon,
Cave Eel,Medium,Beast,"cave, dungeon"
Cave Fisher,Large,Monstrosity,underground
Cave giant,Huge,Giant,
Cave Giant Shaman,Huge,Giant,
cave goat,Small,Beast,
Cave Leech,Large,Beast,underground
Cave mimic,G,Monstrosity,"any, underground"
Cave Ogre (A5E),Large,Giant,"Caverns, Desert, Feywild, Forest, Grassland, Hills, Jungle, Mountains, Plane of Earth, Ruin, Swamp, Tundra"
Cave Shamman,Huge,Giant,
Cave sovereign,H,Aberration,underground
Cave Troll (A5E),Large,Giant,Caverns
Cave Wyrmling Dragon,Medium,Dragon,"ruins,underground"
Cavefish Zombie,Medium,Undead,
Cavelight Moss,Large,Plant,"ruins,underground"
Centaur,Large,Monstrosity,"coast, desert, grassland"
Centaur (A5E),Large,Fey,"Feywild, Forest, Grassland"
Centaur Chieftain,Large,Monstrosity,
Centaur Mummy,Large,Undead,
Centaur Skeleton,Large,Undead,
Centipede Nest,Medium,Beast,
Cerebral Stalker,Medium,Aberration,
Chain Devil,Medium,Fiend,"dungeon, planar"
Chain Devil (A5E),Medium,Fiend,Hell
Chain Worm,Large,Beast,underground
Chained Angel,Medium,Celestial,
Chained One Chain Devil Variant (A5E),Medium,Fiend (Devil),
Chainer Geist,Medium,Undead,
Chamaelean,Small,Humanoid,
Chamberlain of Zuggtmoy,Large,Plant,
Chameleon Hydra,Huge,Monstrosity,
Champion,Medium,Humanoid,"desert, urban"
Champion of Ravens,Medium,Celestial,
Champion Warrior (A5E),Medium,Humanoid,"Caverns, Desert, Feywild, Forest, Grassland, Hills, Jungle, Settlement, Swamp, Temple, Tundra, Water"
Chamrosh,Medium,Celestial,
Chang Nam,Tiny,Monstrosity,"forests, coastal"
Changeling,Medium,Humanoid,
Chaos creeper,M,Plant,hills
Chaos Knight,Medium,Fiend,
Chaos raptor,G,Monstrosity,mountains
Chaos-Spawn Goblin,Small,Humanoid,
Chasme,Large,Fiend,"dungeon, planar"
Chatterlome,Medium,Fiend,
Chelicerae,Large,Aberration,badlands
Chemosit,M,Fiend,forest
Chernomoi,Tiny,Fey,urban
Cherufe,Huge,Elemental,
Child of the Briar,Tiny,Plant,forests
Child of Yggdrasil,Large,Aberration,
Chill Haunt,Medium,Undead,
Chimera,Large,Monstrosity,mountain
Chimera (A5E),Large,Monstrosity,"Desert, Feywild, Forest, Grassland, Hills, Mountains, Sewer, Swamp, Tundra, Water"
Chimeric Phantom,Medium,Undead,
Chitine,Small,Monstrosity,underground
Choker,Small,Aberration,
Choldrith,Medium,Monstrosity,underground
Chort Devil,Medium,Fiend,
Chosen Cultist,Medium,Humanoid,
Chroma lizard,L,Beast,grassland
Chronalmental,Large,Elemental,
Chronomatic Enchancer,Large,Construct,
Chronomatic Enhancer,Large,Construct,
Chuhaister,Large,Giant,
Chupacabra,Small,Monstrosity,"forest, urban"
Church Grim,Medium,Monstrosity,
Churr,Large,Monstrosity,forest
Chuul,Large,Aberration,"aquatic, coast"
Chuul (A5E),Large,Aberration,"Caverns, Plane of Water, Water"
Chuul Spore Servant,Large,Plant,
Cikavak,Tiny,Fey,
Cimota,Medium,Undead,
Cimota Guardian,Medium,Undead,
Cinderslag Elemental,Large,Elemental,
Cipactli,Medium,Fiend,
City Watch Captain,Medium,Humanoid,urban
Clacking Skeleton,Medium,Undead,
Clamor,Medium,Aberration,
Clasp Cutthroat,Medium,Humanoid,
Clasp Enforcer,Medium,Humanoid,
Clawfoot,Medium,Beast,
Clay Golem,Large,Construct,"dungeon, ruins, urban"
Clay Guardian (A5E),Large,Construct,"Laboratory, Ruin, Temple, Tomb"
Climbing vine,M,Plant,"mountains, urban"
Cloaker,Large,Aberration,"cave, dungeon, underground"
Cloaker (A5E),Large,Aberration,"Caverns, Laboratory, Sewer"
Clockwork Abomination,Large,Construct,
Clockwork Archon,Gargantuan,Construct,
Clockwork armadillo,S,Construct,urban
Clockwork Assassin,Medium,Construct,
Clockwork Beetle,Tiny,Construct,
Clockwork Beetle Swarm,Large Swarm,Construct,
Clockwork conductor,S,Construct,urban
Clockwork Dragon,Large,Construct,
Clockwork Hound,Medium,Construct,"forests,urban"
Clockwork Huntsman,Medium,Construct,"forests,urban"
Clockwork Leech,Medium,Construct,
Clockwork Mantis,Large,Construct,
Clockwork Myrmidon,Large,Construct,"forests,plains,urban"
Clockwork Pest,Tiny,Construct,
Clockwork pugilist,M,Construct,urban
Clockwork scorpion,L,Construct,urban
Clockwork Sentinel (A5E),Medium,Construct,"Laboratory, Ruin, Sewer"
Clockwork Servant,Medium,Construct,
Clockwork Soldier,Medium,Construct,
Clockwork tactician,M,Construct,urban
Clockwork Tiger,Large,Construct,
Clockwork Watchman,Medium,Construct,urban
Clockwork Weaving Spider,Tiny,Construct,urban
Cloud Giant,Huge,Giant,"mountain, planar"
Cloud Giant Noble (A5E),Huge,Giant,"Mountains, Plane of Air"
Cloud Giant Smiling One,Huge,Giant,mountain
Cloudhoof assassin,M,Beast,mountains
Clurichaun,Tiny,Fey,urban
Cobalt Golem,Huge,Construct,
Cobra Flower,Large,Plant,forest
Cockatrice (A5E),Small,Monstrosity,"Desert, Grassland, Hills, Jungle, Mountains, Ruin, Swamp"
Coffer Corpse,Medium,Undead,underground
Cold Snap Spirit,Medium,Elemental,
Collais,Large,Monstrosity,
Colláis,Large,Monstrosity,
Colossal Ape,Gargantuan,Beast,forests
Colossal King Ape,Gargantuan,Beast (titan),forests
Commander of Horn and Gold,Medium,Fey,
Commoner,Medium,Humanoid,urban
Commoner (A5E),Medium,Humanoid,Settlement
Commoner Mob (A5E),Huge,Humanoid,Settlement
Compsognathus,Tiny,Beast,
Conclave Dryad,Medium,Fey,
Conjoined Queen,Large,Monstrosity,
Conjurer,Medium,Humanoid,urban
Conniption bug,S,Beast,"coastal, swamp, underwater"
Constrictor Snake,Large,Beast,"forest, swamp"
Constrictor Snake (A5E),Large,Beast,"Jungle, Swamp"
Cooshee,Medium,Monstrosity,forest
Copper Dragon Wyrmling (A5E),Medium,Dragon,"Hills, Mountains"
Coral Drake,Medium,Dragon,aquatic
Coralfish (A5E),Small,Monstrosity,"Plane of Water, Water"
Coralfish Cockatrice Variant (A5E),Small,Monstrosity,aquatic
Core Spawn Crawler,Small,Aberration,
Core Spawn Emissary,Medium,Aberration,
Core Spawn Seer,Medium,Aberration,
Core Spawn Worm,Gargantuan,Aberration,
Corpse Mound,Huge,Undead,
Corpse Rook,Large,Monstrosity,grassland
Corpse Theif,Medium,Humanoid,
Corpse Thief,Medium,Humanoid,
Corpse Worm,Large,Monstrosity,
Corpselight moth,L,Beast,"forest, planar"
Corpsespinner,Huge,Monstrosity,planar
Corpsespun,Medium,Undead,planar
Corrupted Ogre Chieftain,Large,Giant,
Corrupted Pixie,Tiny,Fiend,
Corrupted Unicorn (A5E),Large,Celestial,"Feywild, Forest, Jungle"
Corrupting Ooze,Large,Ooze,
Cosmic symphony,L,Celestial,planar
Cosmopolitan Alchemist (A5E),Medium,Humanoid,"Desert, Forest, Hills, Jungle, Laboratory, Settlement, Swamp"
Cosmotronic Blastseeker,Medium,Humanoid,
Couatl,Medium,Celestial,planar
Couatl (A5E),Medium,Celestial,"Astral Plane, Desert, Jungle"
Counterflux blastseeker,medium,Humanoid,
Coven Green Hag (A5E),Medium,Fey,"Caverns, Feywild, Forest, Jungle, Ruin, Settlement, Shadowfell, Swamp"
Coven Horror,Large,Monstrosity,
Coven Sea Hag (A5E),Medium,Fey,"Feywild, Plane of Water, Water"
Coven Winter Hag (A5E),Medium,Fey,Tundra
Cow,Large,Beast,urban
Cow (Ox),Large,Beast,urban
Crab,Tiny,Beast,"aquatic, coast"
Crab (A5E),Tiny,Beast,Water
"Crab, razorback",M,Beast,"farmland, grassland"
"Crab, samurai",M,Beast,"coastal, underwater"
Crabman,Large,Monstrosity,aquatic
Crag Cat,Large,Beast,
Cranium Rat,Tiny,Beast,"underground, urban"
Crawling Claw,Tiny,Undead,"dungeon, ruins, swamp"
Crested Eagle,Medium,Beast,
Crime Boss (A5E),Medium,Humanoid,Settlement
Crimson Basilisk,Medium,Monstrosity,underground
Crimson Drake,Tiny,Dragon,forests
Crimson Mist,Medium,Undead,"swamp, underground"
Crimson Shambler,Medium,Plant,
Crinaea,Medium,Fey,
Crocodile,Large,Beast,"aquatic, coast, swamp"
Crocodile (A5E),Large,Beast,"Swamp, Water"
Crocodile Spirit,Huge,Fey,"sea, coastal"
Crocotta,Medium,Monstrosity,
Crowlock,Tiny,Monstrosity,
Crusher (A5E),Large,Construct,"Laboratory, Ruin, Sewer"
Crushing Wave Priest,Medium,Humanoid,"aquatic, cave, coast, grassland, swamp, underground"
Crushing Wave Reaver,Medium,Humanoid,"aquatic, cave, coast, grassland, swamp, underground"
Cryoceros,Large,Monstrosity,
Crypt Spider,Medium,Beast,
Crypt Thing,Medium,Undead,underground
Crystal Elemental,Medium,Elemental,
Crystalline Devil,Medium,Fiend,"ruins,underground,urban"
Crystalline Dragon,Huge,Dragon,
Crystalline Monolith,Huge,Aberration,
Crystalline Sliver,Large,Monstrosity,
Crystallite,L,Giant,"mountains, underground"
Cueyatl,Small,Humanoid,
Cueyatl Moon Priest,Small,Humanoid,
Cueyatl Sea Priest,Small,Humanoid,
Cueyatl warchief,S,Humanoid,coastal
Cueyatl Warrior,Small,Humanoid,
Culicoid,Large,Fiend,
Cult Fanatic,Medium,Humanoid,"dungeon, urban"
Cult Fanatic (A5E),Medium,Humanoid,"Desert, Forest, Hills, Jungle, Ruin, Settlement, Sewer, Temple"
Cult Priest,Medium,Humanoid,
Cultist (A5E),Medium,Humanoid,"Desert, Forest, Hills, Jungle, Ruin, Settlement, Sewer, Temple"
Cultist Psychophant,M,Humanoid,"any, urban"
Cutthroat (A5E),Medium,Humanoid,"Ruin, Settlement, Sewer"
Cyclops,Huge,Giant,"cave, coast, grassland, mountain, ruins, swamp"
Cyclops (A5E),Huge,Giant,"Desert, Grassland, Hills, Mountains, Plane of Earth, Ruin, Swamp"
Cyclops Myrmidon (A5E),Huge,Giant,"Desert, Grassland, Hills, Mountains, Plane of Earth, Ruin, Swamp"
Cyclops Myrmidon Cyclops Variant (A5E),Huge,Giant,"forests, caves"
Cyclops Stormcaller,Large,Giant,
"Cyclops, Kabandha",Large,Giant,
Cyonaxin,M,Celestial,"grassland, planar"
Daeodon,L,Beast,"forest, grassland"
Dagon,Large,Fiend,"aquatic, planar"
"Dakini, simhamukkha",Huge,Celestial,
Danag,Large,Celestial,
Dancing Foliage,Medium,Plant,
Dao,Large,Elemental,"cave, dungeon, mountain, planar, underground"
Darakhul,Medium,Undead,"ruins,underground"
Darakhul Captain,Medium,Undead,
Darakhul High Priestess,Medium,Undead,
Darakhul Priestess,Medium,Undead,
Darakhul Shadowmancer,Medium,Undead,
Darakhul Spy,Medium,Undead,
Dark Creeper,Small,Humanoid,underground
Dark Eye,Medium,Humanoid,
Dark Father,Large,Undead,
Dark Servant,Medium,Humanoid,
Dark Servant of Carcosa,Huge,Aberration,
Dark Stalker,Medium,Humanoid,underground
Dark Triton,Large,Monstrosity,aquatic
Dark Triton Captain,Large,Monstrosity,aquatic
Dark Triton Lieutenant,Large,Monstrosity,aquatic
Dark Triton Shaman,Large,Monstrosity,aquatic
Dark Voice,Medium,Humanoid,
Darkling,Small,Fey,"forest, swamp, underground, urban"
Darkling Elder,Medium,Fey,"forest, swamp, underground, urban"
Darkmantle,Small,Monstrosity,"cave, underground"
Darkmantle (A5E),Small,Monstrosity,"Caverns, Shadowfell"
Darno,Medium,Undead,
Darnoc,Medium,Undead,
Dau,Small,Fey,desert
Dawnfly,G,Beast,"badlands, coastal, swamp"
De Ogen,Medium,Undead,
Dead Man's Fingers (A5E),Medium,Plant,"swamps, forests, caves"
Dead Man’s Fingers (A5E),Medium,Plant,"Forest, Swamp"
Death Barque,Gargantuan,Undead,
Death Butterfly Swarm,Large Swarm,Beast,"forests,plains"
Death Dog,Medium,Monstrosity,desert
Death Kiss,Large,Aberration,underground
Death Knight,Medium,Undead,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban"
Death Shroud Golem,Large,Construct,
Death Slaad,Medium,Aberration,planar
Death Tyrant,Large,Undead,"cave, dungeon, underground"
Death Vulture,Large,Monstrosity,
Death Widow,Large,Monstrosity,
Death Worm,Large,Monstrosity,"badlands, desert, mountains"
Deathcap Myconid,Medium,Plant,
Deathlock Wight,Medium,Undead,
Deathpact Angel,Medium,Celestial,
Deathspeaker,Medium,Undead,
Deathsworn Elf,Medium,Humanoid,
Deathweaver,Huge,Monstrosity,
Deathwisp,Medium,Undead,
Decapus,Medium,Aberration,"forest, ruins, underground"
Deep Drake,Large,Dragon,"ruins,underground"
Deep Dwarf Soldier (A5E),Medium,Humanoid,"Caverns, Mountains"
Deep Gnome (Svirfneblin),Small,Humanoid,"cave, dungeon, planar, underground"
Deep Hunter Sea Serpent,Gargantuan,Dragon,aquatic
Deep One,Medium,Humanoid,
Deep One Archimandrite,Large,Humanoid,aquatic
Deep One Halfbreed,Medium,Aberration,
Deep One Hybrid Priest,Medium,Humanoid,
Deep One Priest,Medium,Humanoid,aquatic
Deep Ones,Medium,Humanoid,aquatic
Deep Troll,Large,Giant,
Deer,Medium,Beast,"forest, grassland"
Deer (A5E),Medium,Beast,"Feywild, Forest, Grassland"
Defiled Naga,Large,Monstrosity,
Degenerate Titan,Huge,Giant,"plains,ruins,underground"
Degmadu,Gargantuan,Monstrosity,
Deinonychus,Medium,Beast,"forest, grassland"
Demilich,Tiny,Undead,dungeon
Demilich (A5E),Tiny,Undead,"Laboratory, Ruin, Shadowfell, Tomb"
Demilich (Acererak in lair),Tiny,Undead,
Demilich (Acererak),Tiny,Undead,
Demilich (in lair),Tiny,Undead,dungeon
Demilich Mastermind (A5E),Tiny,Undead,"Laboratory, Ruin, Shadowfell, Tomb"
Demilich Masterming Demilich Variant (A5E),Tiny,Undead,
Demogorgon,Huge,Fiend,
Demon Lord Rhopalocerex,Large,Fiend,
"Demon Lord, Akyishigal",Large,Fiend,
"Demon Lord, Alsikaya, screeching mother of volcanoes",Huge,Fiend,
"Demon Lord, Bathael",Huge,Fiend,
"Demon Lord, Chemosh",Huge,Fiend,
"Demon Lord, Chitter'k'k",Medium,Fiend,
"Demon Lord, Hriggala, Jaws of Vardesain",Huge,Fiend,
"Demon Lord, Rangda",Large,Fiend,
"Demon, Alnaar",Large,Fiend,
"Demon, balbazu",T,Fiend,planar
"Demon, baliri",Medium,Fiend,
"Demon, Cipactli",Medium,Fiend,
"Demon, Culicoid",Large,Fiend,
"Demon, Echo",Medium,Fiend,
"Demon, inciter",M,Fiend,"planar, urban"
"Demon, kogukhpak",H,Fiend,underground
"Demon, maha",M,Fiend,arctic
"Demon, Neophron",Medium,Fiend,
"Demon, Pishacha",Medium,Fiend,
"Demon, Plaresh",Medium Swarm,Fiend,
"Demon, Spawn of Hriggala",Huge,Fiend,
"Demon, Spawn of Rhopalocerex",Large,Fiend,
"Demon, Spree",Small,Fiend,
"Demon, Vellso",Medium,Fiend,
"Demon, vetala",M,Fiend,"planar, urban"
"Demon, Wind",Small,Fiend,
"Demon, Yek",Small,Fiend,
"Demon, Yek Alpha",Medium,Fiend,
Demonfeed Spider,Large,Fiend,
Demonfeed Spiderling,Medium,Fiend,
Demonic Knight,Medium,Fiend,
Denizen of Leng,Medium,Aberration,
Derendian Moth Abomination,Huge,Monstrosity,
Derro,Small,Humanoid,underground
Derro Explorer,Small,Humanoid,
Derro Fetal Savant,Tiny,Humanoid,"ruins,underground"
Derro Guard,Small,Humanoid,
Derro Shadowseeker,Small,Humanoid,
"Derro, hellforged",S,Humanoid,planar
"Derro, Speaker to the Darkness",Small,Humanoid,
"Derro, voidwarped",S,Humanoid,planar
"Derro, Witch Queen",Small,Humanoid,
Desert Giant,Huge,Giant,
Desert slime,L,Ooze,desert
Desert Troll,Large,Giant,
Despair and anger,L,Celestial,planar
Destroyer,Medium,Humanoid,
Deva,Medium,Celestial,planar
Deva (A5E),Medium,Celestial,"Astral Plane, Temple"
Devil Bough,Huge,Fiend,
Devil Shark,Gargantuan,Monstrosity,
"Devil, Arachnocrat",Medium,Fiend,
"Devil, arch, iorvensiav",G,Fiend,"arctic, planar"
"Devil, devilflame juggler",L,Fiend,planar
"Devil, Fire Imp",Tiny,Fiend,
"Devil, infernal tutor, lesser",M,Fiend,"hills, mountains"
"Devil, maelstrom",L,Fiend,"coastal, planar, underwater"
"Devil, moldering",S,Fiend,farmland
"Devil, Nephirron",Huge,Fiend,
"Devil, rimepacted",M,Fiend,arctic
"Devil, Scribe",Medium,Fiend,
"Devil, Tzepharion",Large,Fiend,
"Devil, Wind's Harp",Medium,Fiend,
Devilbound gnomish prince,Small,Humanoid,
devkarin lich,Medium,Undead,
Devourer,Large,Fiend,underground
Devouring angel,L,Aberration,planar
Dhampir,Medium,Humanoid,
Dhampir Commander,Medium,Humanoid,
"Dhuoth, Giver of Eyes",Gargantuan,Plant,
Dimensional Shambler,Large,Aberration,
Dimetrodon,Medium,Beast,swamp
Diminution Drake,Medium,Dragon,
"Dinosaur, Compsognathus",Tiny,Beast,
"Dinosaur, Comsognathus swarm",Medium Swarm,Beast,
"Dinosaur, jeholopterus",S,Beast,"coastal, forest, swamp"
"Dinosaur, razorfeather raptor",M,Monstrosity,"forest, swamp"
"Dinosaur, therizinosaurus",H,Beast,forest
"Dinosaur, thundercall hadrosaur",H,Monstrosity,"farmland, grassland, swamp"
Diomedian horse,L,Beast,grassland
Diplodocus (A5E),Gargantuan,Beast,"Grassland, Jungle, Mountains, Swamp"
Dipsa,Tiny,Ooze,marshes
Dire Anglerfish,Huge,Beast,
Dire Centipede (A5E),Large,Beast,"Caverns, Ruin"
Dire Corby,Medium,Monstrosity,underground
Dire Eagle,Huge,Beast,
Dire lionfish,L,Beast,underwater
Dire owlbear,L,Monstrosity,"forest, underground"
Dire pangolin,L,Beast,"forest, grassland"
Dire Tyrannosaurus Rex (A5E),Huge,Beast,"Grassland, Jungle, Mountains, Swamp"
Dire wildebeest,L,Beast,grassland
Dire Wolf,Large,Beast,"arctic, cave, forest, grassland"
Dire Wolf (A5E),Large,Beast,"Feywild, Forest, Grassland, Hills, Mountains, Tundra"
Diseased Giant Rat (A5E),Small,Beast,"Caverns, Forest, Ruin, Settlement, Sewer, Swamp"
Dissimortuum,Medium,Undead,
Div,S,Elemental,"badlands, desert"
Divi Noble (A5E),Large,Elemental,"Caverns, Plane of Earth"
Diviner,Medium,Humanoid,urban
Diving gel,T,Ooze,"coastal, underwater"
Diwata,Large,Fey,"forests, coastal, mountains, caves"
Djinni,Large,Elemental,"arctic, coast, dungeon, grassland, planar"
Djinni Noble (A5E),Large,Elemental,"Desert, Plane of Air"
Doc Cu'o'c,Medium,Fey,
Dogmole,Medium,Beast,"forests, hills,mountains"
Dogmole Juggernaut,Large,Monstrosity,"hills,mountains,ruins,underground"
Dokkaebi,M,Fey,farmland
Dolgaunt,Medium,Aberration,
Dolgrim,Small,Aberration,
Dolphin,Medium,Beast,"coast, aquatic"
Domovoi,Medium,Fey,"desert,forests"
Doom creeper,S,Plant,forest
Doom Golem,Large,Construct,
Doombat,Large,Monstrosity,underground
Doomspeaker,Medium,Humanoid,
Doppelganger,Medium,Monstrosity,"dungeon, ruins, urban"
Doppelganger (A5E),Medium,Monstrosity,"Caverns, Forest, Grassland, Hills, Laboratory, Ruin, Settlement, Sewer, Shadowfell"
Doppelixir,T,Ooze,"any, urban"
Doppelrat,Tiny,Monstrosity,"ruins,underground,urban"
Dorreq,Medium,Aberration,badlands
Doty X,Medium,Construct,
Dracotaur,Large,Dragon,
Draegloth,Large,Fiend,underground
Draft Horse,Large,Beast,urban
Draft Horse (A5E),Large,Beast,Settlement
Dragon Eel,Huge,Dragon,"aquatic,ruins,underground"
Dragon Lich Template (A5E),Huge,Undead (Dragon),
Dragon Turtle,Gargantuan,Dragon,aquatic
Dragon Turtle (A5E),Gargantuan,Dragon,"Plane of Water, Water"
"Dragon, Boreal Adult",Huge,Dragon,
"Dragon, Boreal Ancient",Gargantuan,Dragon,
"Dragon, Boreal Wyrmling",Medium,Dragon,
"Dragon, Boreal Young",Large,Dragon,
"Dragon, Imperial Adult",Huge,Dragon,
"Dragon, Imperial Ancient",Gargantuan,Dragon,
"Dragon, Imperial Wyrmling",Medium,Dragon,
"Dragon, Light, Adult",Huge,Dragon,
"Dragon, Light, Wyrmling",Medium,Dragon,
"Dragon, Light, Young",Large,Dragon,
"Dragon, prismatic adult",H,Dragon,underground
"Dragon, prismatic ancient",G,Dragon,underground
"Dragon, prismatic young",L,Dragon,underground
"Dragon, sand ancient",G,Dragon,"badlands, desert"
"Dragon, sand wyrmling",M,Dragon,"badlands, desert"
"Dragon, sand young",L,Dragon,"badlands, desert"
"Dragon, Wasteland, Adult",Huge,Dragon,
"Dragon, Wasteland, Ancient",Gargantuan,Dragon,
"Dragon, Wasteland, Wyrmling",Medium,Dragon,
"Dragon, Wasteland, Young",Large,Dragon,
Dragonborn Edjet,Medium,Humanoid,
Dragonborn Elementalist,Medium,Humanoid,
Dragonborn Hvy Cav,Medium,Humanoid,
Dragonborn Lgt Cav,Medium,Humanoid,
Dragonborn Ouroban,Medium,Humanoid,
Dragonbound Warrior (A5E),Medium,Humanoid,"Desert, Forest, Hills, Jungle, Mountains, Ruin, Swamp, Tundra"
Dragonclaw,Medium,Humanoid,"dungeon, urban"
"Dragonette, Keyhole",Tiny,Dragon,
"Dragonette, sedge",T,Dragon,swamp
"Dragonette, shovel",T,Dragon,"farmland, forest, grassland, urban"
Dragonfang,Medium,Humanoid,"dungeon,urban"
Dragonflesh Golem,Large,Construct,
Dragonleaf Tree,Large,Plant,"forests,urban"
Dragonsoul,Medium,Humanoid,"dungeon, urban"
Dragonwing,Medium,Humanoid,"dungeon, urban"
Drainpipe Gargoyle (A5E),Medium,Elemental,"Hills, Laboratory, Mountains, Plane of Earth, Ruin, Settlement, Temple, Tomb"
"Drake, bakery",S,Dragon,urban
"Drake, Bathhouse",Medium,Dragon,
"Drake, Cave",Large,Dragon,
"Drake, Crater",Small,Dragon,
"Drake, Diminution",Medium,Dragon,
"Drake, ethereal",L,Dragon,"planar, urban"
"Drake, Fey",Small,Dragon,
"Drake, Forest",Small,Dragon,
"Drake, Hoard",Large,Dragon,
"Drake, Hoarfrost",Medium,Dragon,
"Drake, Kelp",Medium,Dragon,
"Drake, Light",Tiny,Dragon,
"Drake, Liminal",Large,Dragon,
"Drake, Moon",Medium,Dragon,
"Drake, Peluda",Large,Dragon,
"Drake, reef",H,Dragon,"coastal, underwater"
"Drake, Sanddrift",Large,Dragon,
"Drake, shepherd",M,Dragon,"farmland, hills"
"Drake, Skull",Medium,Dragon,
"Drake, Spider",Large,Dragon,
"Drake, vapor",L,Dragon,swamp
"Drake, venom",L,Dragon,forest
"Drake, Vine",Medium,Dragon,
Drakon,Large,Beast,
Dralmorrer Borngray,Medium,Humanoid,
Drannin Splithelm,Medium,Elemental,
Dread examiner,L,Aberration,
Dread Knight (A5E),Medium,Undead,"Mountains, Ruin, Shadowfell, Tomb"
Dread Knight Champion (A5E),Medium,Undead,"Mountains, Ruin, Shadowfell, Tomb"
Dread Walker Excavator,Large,Construct,
Dread Warrior,Medium,Undead,
Dreadlock Vampire Spawn (A5E),Medium,Undead,
Dream Eater,Medium,Fiend,"ruins,underground,urban"
Dream Squire,Medium,Fey,
Dream Wraith,Medium,Undead,
Dream-Seeker of Yga-Ygo,Small,Humanoid,
Dretch,Small,Fiend,"dungeon, planar"
Dretch (A5E),Small,Fiend,Abyss
Drider,Large,Monstrosity,"dungeon, underground"
Drider (A5E),Large,Monstrosity,"Feywild, Ruin"
Droki,Small,Humanoid,
Drop Bear (A5E),Large,Beast,Tundra
Droth,Huge,Aberration,
Drow,Medium,Humanoid,"dungeon, underground, urban"
Drow Elite Warrior,Medium,Humanoid,"dungeon, underground, urban"
Drow Mage,Medium,Humanoid,"dungeon, underground, urban"
Drow Spore Servant,Medium,Plant,
